SealID,TOPPID,SatTagManufacturer,SatTagType,SatTagID,SatTagPTT,SatTagQC,SatTagComment,TDR1Manufacturer,TDR1Type,TDR1ID,TDR1Loc,TDR1QC,TDR1Comments,TDR1Manufacturer,TDR2Type,TDR2ID,TDR2Loc,TDR2QC,TDR2Comments,TDR1Manufacturer,TDR3Type,TDR3ID,TDR3Loc,TDR3QC,TDR3Comment,Other1,Other1Loc,Other1Comment,Other2,Other2Loc,Other2Comment,Other3,Other3Loc,Other3Comment
M637,2006022,Wildlife Computers,SPOT,04S0285,39456,,,Wildlife Computers,Mk9,0490879,Back,,,,,,,,,,,,,,,,,,,,,,,
J682,2006023,SMRU,GPS,10372,25966,,Missing. Argos antenna broke,Wildlife Computers,Mk9,0490158,Back,,,SMRU,GPS,10372,Head,,,,,,,,,,,,,,,,,
1885,2006024,SMRU,GPS,10362,22922,,MISSING,Wildlife Computers,Mk9,0490160,Back,,,SMRU,GPS,10362,Head,,,,,,,,,SPOT 06S0548,,,,,,,,
W1057,2006025,Wildlife Computers,SPOT,04S0214,44637,,,Wildlife Computers,Mk9,0490233,Back,,,,,,,,,,,,,,,,,,,,,,,
L840,2006026,SMRU,GPS,10373,24178,,,Wildlife Computers,Mk9,0490157,Back,,,SMRU,GPS,10373,Head,,,,,,,,,,,,,,,,,
M627,2006027,SMRU,GPS,10358,22925,,some messy locations,Wildlife Computers,Mk9,0490122,Back,,,SMRU,GPS,10358,Head,,,,,,,,,,,,,,,,,
1795,2006031,Wildlife Computers,SPOT,,39457,,,Wildlife Computers,Mk9,0490231,Back,,,,,,,,,,,,,,,,,,,,,,,
Kita,2006034,Wildlife Computers,SPOT,05S0070,39112,,"Baja, check",Wildlife Computers,Mk9,0490359,Back,,,,,,,,,,,,,,,,,,,,,,,
Mimi,2006035,Wildlife Computers,SPOT,,59107,,,Wildlife Computers,,,Back,,lost at sea,,,,,,,,,,,,,,,,,,,,,
G102,2006038,Wildlife Computers,SPOT,04S0656,56481,,,Wildlife Computers,Mk9,0490352,Back,,,,,,,,,,,,,,,,,,,,,,,
M780,2006039,Wildlife Computers,SPOT,04S0657,56482,,,Wildlife Computers,Mk9,0490360,Back,,,,,,,,,,,,,,,,,,,,,,,
1551,2006040,Wildlife Computers,Mk10,06A0175,60254,,No useable data,Wildlife Computers,Mk10,06A0175,Head,,,,,,,,,,,,,,,,,,,,,,,
O401,2006041,Wildlife Computers,SPOT,04S0663,56488,,,Wildlife Computers,Mk9,0490357,Back,,,,,,,,,,,,,,,,,,,,,,,
O448,2006042,Wildlife Computers,SPOT,04S0664,56489,,No useable data,Wildlife Computers,Mk9,0490966,Back,,,,,,,,,,,,,,,,,,,,,,,
L720,2006043,Wildlife Computers,SPOT,04S0120,37593,,,Wildlife Computers,Mk10,06A0211,Back,,,,,,,,,,,,,,,,,,,,,,,
O256,2006044,Wildlife Computers,SPOT,04S0662,56487,,check over dateline,Wildlife Computers,Mk10,06A0212,Back,,,,,,,,,,,,,,,,,,,,,,,
1196,2006045,Wildlife Computers,SPOT,04S0659,56484,,,Wildlife Computers,Mk10,06A0208,Back,,,,,,,,,,,,,,,,,,,,,,,
